# x_norm y_norm Actual_u
5.824560e-01 7.584363e-01 6.659340e-01
5.752882e-01 7.616275e-01 6.626280e-01
5.681204e-01 7.648187e-01 6.588420e-01
5.609526e-01 7.680110e-01 6.545860e-01
5.537849e-01 7.712022e-01 6.498690e-01
5.466171e-01 7.743935e-01 6.447010e-01
5.394493e-01 7.775847e-01 6.390910e-01
5.322815e-01 7.807759e-01 6.330510e-01
5.251137e-01 7.839672e-01 6.265920e-01
5.179460e-01 7.871584e-01 6.197240e-01
5.107772e-01 7.903497e-01 6.124610e-01
5.036094e-01 7.935409e-01 6.048150e-01
4.964416e-01 7.967321e-01 5.967970e-01
4.892738e-01 7.999234e-01 5.884210e-01
4.821061e-01 8.031156e-01 5.797010e-01
4.749383e-01 8.063068e-01 5.706490e-01
4.677705e-01 8.094981e-01 5.612800e-01
4.606027e-01 8.126893e-01 5.516090e-01
4.534349e-01 8.158806e-01 5.416490e-01
4.462672e-01 8.190718e-01 5.314150e-01
4.390994e-01 8.222630e-01 5.209230e-01
4.319316e-01 8.254543e-01 5.101880e-01
4.247638e-01 8.286455e-01 4.992240e-01
4.175960e-01 8.318368e-01 4.880490e-01
4.104282e-01 8.350280e-01 4.766770e-01
4.032605e-01 8.382202e-01 4.651240e-01
3.960917e-01 8.414115e-01 4.534080e-01
3.889239e-01 8.446027e-01 4.415430e-01
3.817561e-01 8.477939e-01 4.295460e-01
3.745883e-01 8.509852e-01 4.174350e-01
3.674206e-01 8.541764e-01 4.052240e-01
3.602528e-01 8.573677e-01 3.929310e-01
3.530850e-01 8.605589e-01 3.805730e-01
3.459172e-01 8.637501e-01 3.681660e-01
3.387494e-01 8.669414e-01 3.557260e-01
3.315817e-01 8.701326e-01 3.432700e-01
3.244139e-01 8.733249e-01 3.308150e-01
3.172461e-01 8.765161e-01 3.183770e-01
3.100783e-01 8.797073e-01 3.059730e-01
3.029105e-01 8.828986e-01 2.936180e-01
2.957427e-01 8.860898e-01 2.813300e-01
2.885750e-01 8.892810e-01 2.691240e-01
2.814062e-01 8.924723e-01 2.570160e-01
2.742384e-01 8.956635e-01 2.450210e-01
2.670706e-01 8.988548e-01 2.331560e-01
2.599028e-01 9.020460e-01 2.214360e-01
